ID	peaks-ENCFF128AKC.mapped.json	peaks-ENCFF663QIZ.mapped.json	strand	peak-union	counts-ENCFF128AKC.mapped.json	counts-ENCFF663QIZ.mapped.json	count-union	union-max-diff	aliases	object_type	display_name	biotype	description	seq_region_name	parent	is_canonical
ENSG00000211459	{'chrM:747-763', 'chrM:1545-1549', 'chrM:865-870', 'chrM:1252-1264', 'chrM:1402-1410', 'chrM:1326-1332', 'chrM:911-918', 'chrM:1332-1342', 'chrM:1422-1426', 'chrM:1539-1545', 'chrM:1366-1372', 'chrM:1277-1282', 'chrM:1282-1286', 'chrM:1264-1272', 'chrM:850-860', 'chrM:1342-1346', 'chrM:1524-1539', 'chrM:790-809', 'chrM:881-903', 'chrM:1410-1416', 'chrM:860-864', 'chrM:1363-1366', 'chrM:719-732', 'chrM:1416-1422', 'chrM:732-737', 'chrM:737-747', 'chrM:1372-1384', 'chrM:1388-1397', 'chrM:1286-1295', 'chrM:1354-1363', 'chrM:809-812', 'chrM:1349-1354', 'chrM:1384-1388', 'chrM:903-911', 'chrM:1397-1402'}	{'chrM:682-692', 'chrM:726-730', 'chrM:1272-1277', 'chrM:1351-1355', 'chrM:1385-1388', 'chrM:705-709', 'chrM:1382-1385', 'chrM:1342-1345', 'chrM:714-718', 'chrM:701-704', 'chrM:1261-1272', 'chrM:1246-1261', 'chrM:1355-1361', 'chrM:1553-1562', 'chrM:1361-1366', 'chrM:1388-1398', 'chrM:1378-1382', 'chrM:1526-1539', 'chrM:723-726', 'chrM:709-714', 'chrM:1282-1287', 'chrM:1540-1553', 'chrM:1277-1282', 'chrM:1346-1348', 'chrM:1325-1342', 'chrM:718-723', 'chrM:1366-1378', 'chrM:693-701', 'chrM:1348-1351', 'chrM:1398-1402'}	+	{'chrM:747-763', 'chrM:1545-1549', 'chrM:865-870', 'chrM:682-692', 'chrM:1252-1264', 'chrM:1272-1277', 'chrM:1351-1355', 'chrM:1385-1388', 'chrM:1402-1410', 'chrM:714-718', 'chrM:701-704', 'chrM:1246-1261', 'chrM:1355-1361', 'chrM:1326-1332', 'chrM:911-918', 'chrM:1332-1342', 'chrM:1422-1426', 'chrM:1553-1562', 'chrM:1361-1366', 'chrM:1539-1545', 'chrM:1526-1539', 'chrM:723-726', 'chrM:1366-1372', 'chrM:1277-1282', 'chrM:1282-1286', 'chrM:1264-1272', 'chrM:850-860', 'chrM:1342-1346', 'chrM:693-701', 'chrM:1524-1539', 'chrM:1398-1402', 'chrM:790-809', 'chrM:881-903', 'chrM:1410-1416', 'chrM:860-864', 'chrM:1363-1366', 'chrM:719-732', 'chrM:726-730', 'chrM:1416-1422', 'chrM:732-737', 'chrM:737-747', 'chrM:1372-1384', 'chrM:705-709', 'chrM:1388-1397', 'chrM:1382-1385', 'chrM:1342-1345', 'chrM:1261-1272', 'chrM:1286-1295', 'chrM:1354-1363', 'chrM:809-812', 'chrM:1388-1398', 'chrM:1349-1354', 'chrM:1378-1382', 'chrM:709-714', 'chrM:1384-1388', 'chrM:903-911', 'chrM:1282-1287', 'chrM:1540-1553', 'chrM:1346-1348', 'chrM:1325-1342', 'chrM:718-723', 'chrM:1397-1402', 'chrM:1348-1351', 'chrM:1366-1378'}	35	30	64	59	"[""MOTS-c"",""12S"",""MTRNR1""]"	Gene	MT-RNR1	Mt_rRNA	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	MT		
ENSG00000210082	{'chrM:3092-3100', 'chrM:2645-2652', 'chrM:2627-2644', 'chrM:2617-2627', 'chrM:3059-3069', 'chrM:3006-3010', 'chrM:3082-3086', 'chrM:2563-2567', 'chrM:3078-3082', 'chrM:2567-2572', 'chrM:3086-3092', 'chrM:3069-3078', 'chrM:2652-2658', 'chrM:3010-3017'}	{'chrM:2672-2676', 'chrM:3054-3069', 'chrM:2676-2690', 'chrM:2703-2719', 'chrM:3004-3011', 'chrM:2636-2643', 'chrM:3077-3080', 'chrM:2617-2621', 'chrM:2989-3004', 'chrM:2768-2772', 'chrM:2752-2759', 'chrM:2632-2636', 'chrM:2643-2659', 'chrM:2621-2627', 'chrM:3051-3054', 'chrM:3011-3027', 'chrM:3069-3077', 'chrM:2690-2693', 'chrM:2664-2672', 'chrM:2985-2989', 'chrM:2627-2632', 'chrM:2693-2703', 'chrM:2759-2768'}	+	{'chrM:2672-2676', 'chrM:2676-2690', 'chrM:2703-2719', 'chrM:3004-3011', 'chrM:2636-2643', 'chrM:2627-2644', 'chrM:2617-2627', 'chrM:3059-3069', 'chrM:2617-2621', 'chrM:3082-3086', 'chrM:2768-2772', 'chrM:3078-3082', 'chrM:2632-2636', 'chrM:3092-3100', 'chrM:3010-3017', 'chrM:2621-2627', 'chrM:2645-2652', 'chrM:3011-3027', 'chrM:3069-3077', 'chrM:2690-2693', 'chrM:2985-2989', 'chrM:2627-2632', 'chrM:3086-3092', 'chrM:2759-2768', 'chrM:3054-3069', 'chrM:3077-3080', 'chrM:3006-3010', 'chrM:2989-3004', 'chrM:2752-2759', 'chrM:2643-2659', 'chrM:3069-3078', 'chrM:2652-2658', 'chrM:3051-3054', 'chrM:2664-2672', 'chrM:2563-2567', 'chrM:2567-2572', 'chrM:2693-2703'}	14	23	37	28	"[""16S"",""MTRNR2"",""HN""]"	Gene	MT-RNR2	Mt_rRNA	mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]	MT		
ENSG00000198695	{'chrM:14330-14349', 'chrM:14373-14389', 'chrM:14316-14321', 'chrM:14321-14330', 'chrM:14476-14500', 'chrM:14284-14298', 'chrM:14261-14269', 'chrM:14462-14476', 'chrM:14257-14261', 'chrM:14300-14316', 'chrM:14349-14373', 'chrM:14389-14398', 'chrM:14276-14284', 'chrM:14269-14276'}	{'chrM:14311-14316', 'chrM:14473-14500', 'chrM:14323-14344', 'chrM:14257-14284', 'chrM:14344-14390', 'chrM:14316-14322', 'chrM:14284-14298', 'chrM:14459-14473', 'chrM:14301-14305', 'chrM:14305-14310'}	-	{'chrM:14311-14316', 'chrM:14330-14349', 'chrM:14316-14321', 'chrM:14321-14330', 'chrM:14476-14500', 'chrM:14284-14298', 'chrM:14344-14390', 'chrM:14261-14269', 'chrM:14459-14473', 'chrM:14301-14305', 'chrM:14389-14398', 'chrM:14305-14310', 'chrM:14349-14373', 'chrM:14473-14500', 'chrM:14373-14389', 'chrM:14323-14344', 'chrM:14257-14284', 'chrM:14316-14322', 'chrM:14462-14476', 'chrM:14257-14261', 'chrM:14300-14316', 'chrM:14276-14284', 'chrM:14269-14276'}	14	10	23	19	"[""ND6"",""NAD6"",""MTND6""]"	Gene	MT-ND6	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	MT		
ENSG00000198786	{'chrM:12800-12823', 'chrM:12760-12783', 'chrM:12752-12760', 'chrM:12823-12838', 'chrM:12838-12844', 'chrM:12783-12790', 'chrM:12601-12611', 'chrM:12790-12800', 'chrM:12866-12897'}	{'chrM:12790-12799', 'chrM:12823-12850', 'chrM:12867-12874', 'chrM:12860-12867', 'chrM:12802-12823', 'chrM:12850-12853', 'chrM:12853-12860', 'chrM:12799-12802', 'chrM:12783-12790', 'chrM:12889-12898', 'chrM:12874-12885'}	+	{'chrM:12790-12799', 'chrM:12823-12850', 'chrM:12760-12783', 'chrM:12867-12874', 'chrM:12802-12823', 'chrM:12853-12860', 'chrM:12799-12802', 'chrM:12601-12611', 'chrM:12874-12885', 'chrM:12866-12897', 'chrM:12800-12823', 'chrM:12752-12760', 'chrM:12823-12838', 'chrM:12860-12867', 'chrM:12838-12844', 'chrM:12850-12853', 'chrM:12889-12898', 'chrM:12783-12790', 'chrM:12790-12800'}	9	11	19	17	"[""ND5"",""NAD5"",""MTND5""]"	Gene	MT-ND5	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	MT		
LSU-rRNA_Hsa	{'chr21:8218741-8218824', 'chrM:2617-2627', 'chrM:2645-2652', 'chrM:2627-2644', 'chrM:2652-2658', 'chr21:8217982-8218062', 'chr21:8401780-8401852'}	{'chrM:2672-2676', 'chrM:2676-2690', 'chrM:2703-2719', 'chrM:2636-2643', 'chr17:19601305-19601345', 'chrM:2643-2659', 'chr21:8401780-8401818', 'chrM:2617-2621', 'chrM:2690-2693', 'chrM:2664-2672', 'chrM:2627-2632', 'chrM:2693-2703', 'chr21:8401818-8401841', 'chrM:2632-2636', 'chrM:2621-2627'}	+	{'chrM:2672-2676', 'chrM:2676-2690', 'chrM:2703-2719', 'chrM:2636-2643', 'chrM:2617-2627', 'chrM:2627-2644', 'chr21:8401780-8401852', 'chrM:2617-2621', 'chrM:2643-2659', 'chrM:2632-2636', 'chrM:2652-2658', 'chrM:2621-2627', 'chrM:2645-2652', 'chr17:19601305-19601345', 'chr21:8217982-8218062', 'chr21:8401780-8401818', 'chrM:2690-2693', 'chrM:2664-2672', 'chr21:8218741-8218824', 'chrM:2627-2632', 'chrM:2693-2703', 'chr21:8401818-8401841'}	7	15	22	14	"""[]"""							
ENSG00000198712	{'chrM:8179-8185', 'chrM:8193-8216', 'chrM:8141-8177', 'chrM:8125-8141', 'chrM:8185-8193', 'chrM:8045-8080'}	{'chrM:8196-8220', 'chrM:8124-8139', 'chrM:8191-8196', 'chrM:8168-8178', 'chrM:8153-8168', 'chrM:8057-8084', 'chrM:8139-8153', 'chrM:8178-8191'}	+	{'chrM:8196-8220', 'chrM:8124-8139', 'chrM:8191-8196', 'chrM:8168-8178', 'chrM:8045-8080', 'chrM:8153-8168', 'chrM:8179-8185', 'chrM:8193-8216', 'chrM:8141-8177', 'chrM:8057-8084', 'chrM:8125-8141', 'chrM:8139-8153', 'chrM:8185-8193', 'chrM:8178-8191'}	6	8	14	12	"[""MTCO2"",""COX2"",""CO2""]"	Gene	MT-CO2	protein_coding	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	MT		
ENSG00000210112	{'chrM:4431-4441', 'chrM:4417-4428', 'chrM:4441-4446', 'chrM:4428-4431', 'chrM:4446-4449'}	{'chrM:4452-4459', 'chrM:4429-4443', 'chrM:4414-4429', 'chrM:4443-4452'}	+	{'chrM:4417-4428', 'chrM:4446-4449', 'chrM:4414-4429', 'chrM:4431-4441', 'chrM:4452-4459', 'chrM:4429-4443', 'chrM:4441-4446', 'chrM:4428-4431', 'chrM:4443-4452'}	5	4	9	8	"[""trnM"",""MTTM""]"	Gene	MT-TM	Mt_tRNA	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]	MT		
ENSG00000198804	{'chrM:6636-6643', 'chrM:6011-6044', 'chrM:6274-6299', 'chrM:6299-6311', 'chrM:6700-6707', 'chrM:6677-6700', 'chrM:6918-6926', 'chrM:7248-7264', 'chrM:7236-7248', 'chrM:6259-6267', 'chrM:6926-6931', 'chrM:6244-6248', 'chrM:6931-6951', 'chrM:6236-6240', 'chrM:6643-6672', 'chrM:6248-6254', 'chrM:6194-6236', 'chrM:6267-6274', 'chrM:6377-6391', 'chrM:6343-6377', 'chrM:6240-6244', 'chrM:6254-6259', 'chrM:7265-7274'}	{'chrM:6926-6931', 'chrM:6931-6954', 'chrM:6016-6051', 'chrM:6011-6016'}	+	{'chrM:6636-6643', 'chrM:6011-6044', 'chrM:6274-6299', 'chrM:6299-6311', 'chrM:6700-6707', 'chrM:6677-6700', 'chrM:6918-6926', 'chrM:7248-7264', 'chrM:7236-7248', 'chrM:6016-6051', 'chrM:6259-6267', 'chrM:6926-6931', 'chrM:6244-6248', 'chrM:6931-6951', 'chrM:6011-6016', 'chrM:6236-6240', 'chrM:6643-6672', 'chrM:6931-6954', 'chrM:6248-6254', 'chrM:6194-6236', 'chrM:6267-6274', 'chrM:6377-6391', 'chrM:6343-6377', 'chrM:6240-6244', 'chrM:6254-6259', 'chrM:7265-7274'}	23	4	26	7	"[""COX1"",""COI"",""MTCO1""]"	Gene	MT-CO1	protein_coding	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	MT		
ENSG00000132570	{'chr5:134924084-134924117', 'chr5:134923866-134923918', 'chr5:134927024-134927059', 'chr5:134927059-134927074', 'chr5:134925371-134925446', 'chr5:134924014-134924049', 'chr5:134927074-134927081', 'chr5:134927081-134927087'}	{'chr5:134927034-134927051', 'chr5:134924013-134924057', 'chr5:134927051-134927088'}	+	{'chr5:134924084-134924117', 'chr5:134923866-134923918', 'chr5:134927034-134927051', 'chr5:134924013-134924057', 'chr5:134927051-134927088', 'chr5:134927024-134927059', 'chr5:134927059-134927074', 'chr5:134925371-134925446', 'chr5:134924014-134924049', 'chr5:134927074-134927081', 'chr5:134927081-134927087'}	8	3	11	6	"[""DCOH2"",""DCOHM""]"	Gene	PCBD2	protein_coding	pterin-4 alpha-carbinolamine dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:24474]	5		
ENSG00000012061	{'chr19:45478597-45478625', 'chr19:45478625-45478665'}	{'chr19:45478597-45478601', 'chr19:45478601-45478621'}	-	{'chr19:45478597-45478601', 'chr19:45478597-45478625', 'chr19:45478625-45478665', 'chr19:45478601-45478621'}	2	2	4	4	"[""RAD10""]"	Gene	ERCC1	protein_coding	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	19		
